subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
3,2,294,NS,NS,RB,NaN,NA,0.7559403849263617,0.031194380317174364
3,2,295,NS,NS,RB,NaN,NA,0.6982379855035106,0.015610720816766843
3,2,296,IG,IG,RB,0.466,long,1.0372037898778217,0.01563741643622052
3,2,297,NS,NS,RB,NaN,NA,0.5494803009132738,0.015616206219419837
3,2,298,SL,SAS,RR,0.166,short,1.0544361781721818,NaN
3,2,299,SL,SAS,RB,0.466,long,0.6077184411988128,0.04677255441492889
3,3,300,SR,SAS,RB,0.266,short,0.5535846610400768,0.015590973365760874
3,3,301,IG,IG,RB,0.266,short,0.9004335356730735,0
3,3,302,SR,SAS,RB,0.066,short,0.9061485924794397,0.04677438288490521
3,3,303,SR,SAS,RB,0.466,long,0.6377458938040945,0.015587682129989844
3,3,304,NS,NS,RB,NaN,NA,0.7840311251711682,0
3,3,305,NS,NS,RB,NaN,NA,0.5691224260190211,0.015650581401132513
3,3,306,IG,IG,RB,0.066,short,0.6742106477249763,0.015665940518374555
3,3,307,SL,SAS,RB,0.366,intermediate,0.6720614674850367,0.01562205731170252
3,3,308,NS,NS,RB,NaN,NA,0.5831601165773463,0
3,3,309,SL,SAS,RR,0.366,intermediate,0.8931207643036032,NaN
3,3,310,NS,NS,RB,NaN,NA,0.5847446661755384,0.015574151468172204
3,3,311,SL,SAS,RR,0.266,short,0.9627959663775982,NaN
3,3,312,IG,IG,RB,0.066,short,0.9060816705787147,0.015620228841726203
3,3,313,NS,NS,RB,NaN,NA,0.5920382386357232,0.015597921541484538
3,3,314,IG,IG,RB,0.166,short,0.7136973092419794,0.01554050768027082
3,3,315,NS,NS,RB,NaN,NA,0.62366450288755,0.09359008912724676
3,3,316,SL,SAS,RR,0.266,short,1.0095165923339664,NaN
3,3,317,NS,NS,RB,NaN,NA,0.516059761892393,0.0156509470907622
3,3,318,NS,NS,RB,NaN,NA,0.5217890807398362,0
3,3,319,NS,NS,RB,NaN,NA,0.69029238166695,0.24964902573265135
3,3,320,NS,NS,RB,NaN,NA,0.5457240809264476,0
3,3,321,SR,SAS,RL,0.266,short,0.9782929565408267,NaN
3,3,322,NS,NS,RB,NaN,NA,0.5394279372776509,0
3,3,323,NS,NS,RB,NaN,NA,0.5451298291154671,0.046797787261311896
3,3,324,NS,NS,RB,NaN,NA,0.5498022939718794,0
3,3,325,SB,SSS,RB,0.466,long,0.5378940362097637,0.015526977025729138
3,3,326,NS,NS,RB,NaN,NA,0.580469710068428,0.015616571909049526
3,3,327,IG,IG,RB,0.466,long,0.9761986303128651,0
3,3,328,NS,NS,RB,NaN,NA,0.5529468917084159,0
3,3,329,NS,NS,RB,NaN,NA,0.6122122648230288,0
3,3,330,SL,SAS,RR,0.266,short,1.029250506486278,NaN
3,3,331,SL,SAS,RR,0.166,short,0.8689828042697627,NaN
3,3,332,NS,NS,RB,NaN,NA,0.5237992974798544,0
3,3,333,NS,NS,RB,NaN,NA,0.6153630793487537,0
3,3,334,SB,SSS,NR,0.166,short,NaN,NaN
3,3,335,SB,SSS,NR,0.066,short,NaN,NaN
3,3,336,IG,IG,RB,0.266,short,0.5569954835955286,0
3,3,337,NS,NS,RB,NaN,NA,0.5081465219191159,0
3,3,338,NS,NS,RB,NaN,NA,0.4826735980459489,0.015603041247231886
3,3,339,IG,IG,RB,0.366,intermediate,0.48736782166088233,0
3,3,340,NS,NS,RB,NaN,NA,0.5299762250760978,0.031211933594022412
3,3,341,NS,NS,RB,NaN,NA,0.5881615226644499,0.03119035768759204
3,3,342,IG,IG,NR,0.266,short,NaN,NaN
3,3,343,NS,NS,NOC,NaN,NA,0.30331237180992804,0.03125471973180538
3,3,344,NS,NS,RB,NaN,NA,0.799450954022177,0
3,3,345,NS,NS,RB,NaN,NA,0.48315283928241115,0
3,3,346,NS,NS,RB,NaN,NA,0.9947846328104788,0.031181946738797706
3,3,347,SR,SAS,RB,0.466,long,0.49354877188307,0
3,3,348,NS,NS,RB,NaN,NA,0.5139038163142686,0.01561913175828522
3,3,349,NS,NS,RB,NaN,NA,0.6277045009701396,0
3,3,350,NS,NS,RB,NaN,NA,0.5689503672583669,0.015547090159088839
3,3,351,NS,NS,RB,NaN,NA,0.6204235449258704,0
3,3,352,IG,IG,RB,0.466,long,0.7197237539949128,0.0467615836096229
3,3,353,NS,NS,RB,NaN,NA,0.6151531713258009,0
3,3,354,NS,NS,RB,NaN,NA,0.5964642261242261,0.03119767156022135
3,3,355,NS,NS,RB,NaN,NA,0.6936366480185825,0.015569397459330503
3,3,356,SR,SAS,RL,0.166,short,0.8543612841604045,NaN
3,3,357,NS,NS,RB,NaN,NA,0.5325077377929119,0.04681278069620021
3,3,358,SR,SAS,RR,0.266,short,0.5371610037473147,NaN
3,3,359,NS,NS,RB,NaN,NA,0.5418925280937401,0.015569397459330503
3,3,360,SR,SAS,RB,0.366,intermediate,0.6156596567125234,0.01561437774944352
3,3,361,NS,NS,RB,NaN,NA,0.6114605819966528,0.01564034198236186
3,3,362,NS,NS,RB,NaN,NA,0.5626342933173873,0.015598652928019874
3,3,363,NS,NS,RB,NaN,NA,0.5449550276571244,0.015603406944137532
3,3,364,NS,NS,RB,NaN,NA,0.588610228493053,0.015509423741605133
3,3,365,SB,SSS,RL,0.066,short,0.8261791205659392,NaN
3,3,366,SL,SAS,RB,0.266,short,0.6114322407520376,0.046794861715170555
3,3,367,NS,NS,RB,NaN,NA,0.6717974368293653,0.015586950743454508
3,3,368,NS,NS,RB,NaN,NA,0.6073240408477432,0.015620960235537495
