subjectIx,trial_alt,t_d_alt,RT_trial,RT_trial_inv
1,SAS,intermediate,0.5876225504089234,1.7017726758513698
1,SAS,intermediate,0.5486155360194971,1.8227701082903005
1,SAS,long,0.661859866562736,1.5108938470515534
1,SAS,long,0.5837375921291823,1.713098511186338
1,SAS,intermediate,0.5390138544062211,1.8552398826586793
1,SAS,intermediate,0.564072356424731,1.7728222073109845
1,SAS,long,0.531052862335855,1.8830517090171857
1,SAS,intermediate,0.6141136616515723,1.6283630579242296
1,SAS,long,0.5698660585039761,1.7547983163363339
1,SAS,long,0.5930114283855801,1.6863081420241925
1,SAS,short,1.0672299478301284,0.9370051899622767
1,SAS,long,0.6085816141730902,1.643164986768043
1,SAS,intermediate,0.5492646442198748,1.8206160009084664
1,SAS,short,0.9251780125923688,1.080873071332487
1,SAS,long,0.6198195969845983,1.6133726730567517
