subjectIx,trial_alt,t_d_alt,RT_trial,RT_trial_inv
2,SSS,long,0.5303736538990051,1.885463187412439
2,SSS,long,0.5364997949200188,1.863933610914203
2,SSS,long,0.631482773595053,1.583574472359659
2,SSS,long,0.6126720977536024,1.6321944538792572
3,SSS,short,0.9235331092386332,1.0827982126427569
3,SSS,intermediate,0.5413331999989168,1.8472910953955917
3,SSS,long,0.5771656699980667,1.732604782268754
3,SSS,intermediate,0.5224531799904071,1.914047111395439
3,SSS,short,0.7172606259518943,1.3941933570839404
3,SSS,intermediate,0.4957336072366161,2.017212441122022
3,SSS,short,0.3697447265185474,2.7045686612377886
3,SSS,intermediate,0.5412580500087643,1.8475475791700606
3,SSS,long,0.6119716385510401,1.6340626542231456
3,SSS,short,0.49230431717296597,2.031263925822248
3,SSS,short,0.8983328098038328,1.113173190477556
