subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,r_bi,trialCorrect
32,6,619,SR,SAS,RL,0.166,short,FALSE,TRUE
32,6,620,IG,NA,RB,0.466,long,TRUE,TRUE
32,6,621,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,622,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,623,SB,SSS,NR,0.166,short,FALSE,TRUE
32,6,624,SB,SSS,NR,0.166,short,FALSE,TRUE
32,6,625,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,626,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,627,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,628,IG,NA,RB,0.466,long,TRUE,TRUE
32,6,629,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,630,SR,SAS,RL,0.066,short,FALSE,TRUE
32,6,631,IG,NA,RB,0.066,short,TRUE,TRUE
32,6,632,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,633,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,634,SB,SSS,NR,0.266,short,FALSE,TRUE
32,6,635,IG,NA,RB,0.266,short,TRUE,TRUE
32,6,636,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,637,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,638,SR,SAS,RL,0.266,short,FALSE,TRUE
32,6,639,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,640,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,641,IG,NA,RB,0.266,short,TRUE,TRUE
32,6,642,IG,NA,RB,0.266,short,TRUE,TRUE
32,6,643,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,644,SB,SSS,NR,0.066,short,FALSE,TRUE
32,6,645,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,6,646,SB,SSS,NR,0.166,short,FALSE,TRUE
32,6,647,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,648,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,649,SL,SAS,RB,0.266,short,TRUE,FALSE
32,6,650,IG,NA,RB,0.266,short,TRUE,TRUE
32,6,651,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,652,SB,SSS,NR,0.066,short,FALSE,TRUE
32,6,653,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,654,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,655,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,656,IG,NA,RB,0.466,long,TRUE,TRUE
32,6,657,SB,SSS,NR,0.166,short,FALSE,TRUE
32,6,658,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,659,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,660,SL,SAS,RB,0.466,long,TRUE,FALSE
32,6,661,SL,SAS,RR,0.166,short,FALSE,TRUE
32,6,662,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,663,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,664,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,665,SL,SAS,RR,0.066,short,FALSE,TRUE
32,6,666,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,667,NS,NS,RLO,NA,NA,FALSE,FALSE
32,6,668,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,6,669,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,670,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,671,SB,SSS,RB,0.266,short,TRUE,FALSE
32,6,672,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,673,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,674,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,675,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,676,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,677,SL,SAS,RB,0.366,intermediate,TRUE,FALSE
32,6,678,SL,SAS,RR,0.166,short,FALSE,TRUE
32,6,679,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,680,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,681,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,682,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,683,SB,SSS,RL,0.366,intermediate,FALSE,FALSE
32,6,684,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,685,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,686,SL,SAS,RB,0.466,long,TRUE,FALSE
32,6,687,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,688,SB,SSS,RB,0.466,long,TRUE,FALSE
32,6,689,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,690,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,691,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,692,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,693,SR,SAS,RB,0.366,intermediate,TRUE,FALSE
32,6,694,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,695,IG,NA,RB,0.066,short,TRUE,TRUE
32,6,696,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,697,NS,NS,RB,NA,NA,TRUE,TRUE
32,6,698,NS,NS,RB,NA,NA,TRUE,TRUE
